N_REGION_ISO,G_TOWNSIZE2,H_URBRURAL,W_WEIGHT,PWGHT,question,response
356029,1,2,1.765651317,844342.59043,Q1_family_importance,very_important
356029,2,2,1.325221384,844342.59043,Q1_family_importance,very_important
356028,1,1,0.188640053,844342.59043,Q1_family_importance,very_important
356028,1,2,1.356678459,844342.59043,Q1_family_importance,very_important
356004,2,2,1.765651317,844342.59043,Q1_family_importance,very_important
356029,2,2,1.301716135,844342.59043,Q1_family_importance,very_important
356028,1,2,0.999029825,844342.59043,Q1_family_importance,very_important
356008,1,2,1.765651317,844342.59043,Q1_family_importance,rather_important
356034,1,2,0.351262771,844342.59043,Q1_family_importance,very_important
356028,1,2,0.351262771,844342.59043,Q1_family_importance,very_important
356021,4,1,0.889673302,844342.59043,Q1_family_importance,very_important
356028,1,2,1.936586309,844342.59043,Q1_family_importance,very_important
356004,1,2,1.014341932,844342.59043,Q1_family_importance,very_important
356028,1,2,0.329186201,844342.59043,Q1_family_importance,very_important
356034,2,1,1.063182634,844342.59043,Q1_family_importance,very_important
356004,1,2,1.356678459,844342.59043,Q1_family_importance,rather_important
356004,1,2,0.999029825,844342.59043,Q1_family_importance,very_important
356028,1,2,1.014341932,844342.59043,Q1_family_importance,very_important
356004,1,2,0.881725469,844342.59043,Q1_family_importance,very_important
356034,1,1,1.063182634,844342.59043,Q1_family_importance,very_important
356034,1,1,0.226321254,844342.59043,Q1_family_importance,very_important
356028,1,2,0.999029825,844342.59043,Q1_family_importance,very_important
356034,1,1,0.394617393,844342.59043,Q1_family_importance,very_important
356008,1,2,1.356678459,844342.59043,Q1_family_importance,very_important
356008,1,1,0.226321254,844342.59043,Q1_family_importance,very_important
356029,1,2,0.271246591,844342.59043,Q1_family_importance,very_important
356029,2,2,0.789102794,844342.59043,Q1_family_importance,very_important
356029,2,2,0.881725469,844342.59043,Q1_family_importance,very_important
356029,1,2,1.356678459,844342.59043,Q1_family_importance,very_important
356028,1,1,0.752887298,844342.59043,Q1_family_importance,very_important
356028,1,2,1.474734744,844342.59043,Q1_family_importance,very_important
356008,1,2,1.301716135,844342.59043,Q1_family_importance,very_important
356034,1,2,0.881725469,844342.59043,Q1_family_importance,very_important
356029,2,2,0.999029825,844342.59043,Q1_family_importance,very_important
356028,1,2,1.765651317,844342.59043,Q1_family_importance,very_important
356004,3,2,1.014341932,844342.59043,Q1_family_importance,not_very_important
356028,1,2,1.014341932,844342.59043,Q1_family_importance,very_important
356004,1,2,1.936586309,844342.59043,Q1_family_importance,very_important
356004,3,2,0.881725469,844342.59043,Q1_family_importance,not_very_important
356004,1,2,1.301716135,844342.59043,Q1_family_importance,rather_important
356034,1,1,0.795385259,844342.59043,Q1_family_importance,very_important
356028,1,2,1.356678459,844342.59043,Q1_family_importance,very_important
356028,1,2,0.390189518,844342.59043,Q1_family_importance,very_important
356028,1,2,1.765651317,844342.59043,Q1_family_importance,very_important
356028,1,2,1.765651317,844342.59043,Q1_family_importance,very_important
356004,1,2,1.356678459,844342.59043,Q1_family_importance,very_important
356034,1,1,0.882231612,844342.59043,Q1_family_importance,very_important
356021,2,1,1.063182634,844342.59043,Q1_family_importance,very_important
356004,1,2,0.893607074,844342.59043,Q1_family_importance,very_important
356008,1,2,0.881725469,844342.59043,Q1_family_importance,very_important
356029,2,2,0.271246591,844342.59043,Q1_family_importance,very_important
356029,1,2,1.014341932,844342.59043,Q1_family_importance,very_important
356029,1,2,0.329186201,844342.59043,Q1_family_importance,very_important
356029,1,2,0.893607074,844342.59043,Q1_family_importance,very_important
356028,1,2,1.356678459,844342.59043,Q1_family_importance,very_important
356034,1,1,0.889673302,844342.59043,Q1_family_importance,very_important
356008,1,2,0.271246591,844342.59043,Q1_family_importance,very_important
356008,1,2,1.301716135,844342.59043,Q1_family_importance,very_important
356029,1,2,1.356678459,844342.59043,Q1_family_importance,very_important
356029,1,2,1.474734744,844342.59043,Q1_family_importance,very_important
356028,1,1,1.518412653,844342.59043,Q1_family_importance,very_important
356029,2,2,0.271246591,844342.59043,Q1_family_importance,very_important
356034,1,1,1.157946,844342.59043,Q1_family_importance,very_important
356028,1,2,0.789102794,844342.59043,Q1_family_importance,very_important
356004,3,2,0.390189518,844342.59043,Q1_family_importance,very_important
356029,2,2,0.271246591,844342.59043,Q1_family_importance,very_important
356028,1,2,1.474734744,844342.59043,Q1_family_importance,very_important
356028,1,2,0.881725469,844342.59043,Q1_family_importance,very_important
356004,1,2,0.789102794,844342.59043,Q1_family_importance,very_important
356028,1,2,1.474734744,844342.59043,Q1_family_importance,very_important
356034,1,2,1.474734744,844342.59043,Q1_family_importance,very_important
356028,1,2,0.893607074,844342.59043,Q1_family_importance,very_important
356004,1,2,1.356678459,844342.59043,Q1_family_importance,rather_important
356029,1,2,1.765651317,844342.59043,Q1_family_importance,very_important
356008,1,2,1.765651317,844342.59043,Q1_family_importance,very_important
356029,1,2,0.390189518,844342.59043,Q1_family_importance,very_important
356028,1,2,0.329186201,844342.59043,Q1_family_importance,very_important
356034,1,1,0.188640053,844342.59043,Q1_family_importance,very_important
356008,2,2,0.789102794,844342.59043,Q1_family_importance,very_important
356004,1,2,0.789102794,844342.59043,Q1_family_importance,rather_important
356008,1,2,0.999029825,844342.59043,Q1_family_importance,very_important
356029,1,2,1.356678459,844342.59043,Q1_family_importance,very_important
356028,1,1,1.063182634,844342.59043,Q1_family_importance,very_important
356008,1,2,0.271246591,844342.59043,Q1_family_importance,very_important
356004,1,2,0.999029825,844342.59043,Q1_family_importance,very_important
356028,1,2,0.789102794,844342.59043,Q1_family_importance,very_important
356029,1,2,1.780181321,844342.59043,Q1_family_importance,very_important
356034,1,1,1.281331647,844342.59043,Q1_family_importance,very_important
356028,1,2,1.356678459,844342.59043,Q1_family_importance,very_important
356028,1,2,1.301716135,844342.59043,Q1_family_importance,very_important
356004,1,2,0.329186201,844342.59043,Q1_family_importance,rather_important
356029,2,2,0.390189518,844342.59043,Q1_family_importance,very_important
356034,1,1,0.188640053,844342.59043,Q1_family_importance,very_important
356034,1,1,0.795385259,844342.59043,Q1_family_importance,very_important
356029,1,2,1.765651317,844342.59043,Q1_family_importance,very_important
356028,1,2,1.356678459,844342.59043,Q1_family_importance,very_important
356034,1,2,0.999029825,844342.59043,Q1_family_importance,very_important
356004,1,2,0.789102794,844342.59043,Q1_family_importance,very_important
356008,1,2,1.301716135,844342.59043,Q1_family_importance,very_important
356004,1,2,0.881725469,844342.59043,Q1_family_importance,rather_important
356029,1,2,0.329186201,844342.59043,Q1_family_importance,very_important
356004,1,2,1.765651317,844342.59043,Q1_family_importance,very_important
356028,1,2,0.789102794,844342.59043,Q1_family_importance,very_important
356028,1,1,1.157946,844342.59043,Q1_family_importance,very_important
356004,2,2,1.301716135,844342.59043,Q1_family_importance,very_important
356034,1,1,1.063182634,844342.59043,Q1_family_importance,very_important
356008,2,2,0.271246591,844342.59043,Q1_family_importance,very_important
356029,1,2,0.390189518,844342.59043,Q1_family_importance,very_important
356008,1,2,1.474734744,844342.59043,Q1_family_importance,very_important
356028,1,2,0.329186201,844342.59043,Q1_family_importance,very_important
356004,1,2,0.271246591,844342.59043,Q1_family_importance,very_important
356004,1,2,0.893607074,844342.59043,Q1_family_importance,very_important
356028,2,2,1.301716135,844342.59043,Q1_family_importance,rather_important
356028,1,2,1.474734744,844342.59043,Q1_family_importance,very_important
356008,1,2,0.789102794,844342.59043,Q1_family_importance,very_important
356004,1,2,0.893607074,844342.59043,Q1_family_importance,very_important
356034,1,1,1.281331647,844342.59043,Q1_family_importance,very_important
356028,1,2,0.789102794,844342.59043,Q1_family_importance,very_important
356034,1,2,1.765651317,844342.59043,Q1_family_importance,very_important
356034,1,1,1.108427752,844342.59043,Q1_family_importance,very_important
356008,1,2,0.329186201,844342.59043,Q1_family_importance,very_important
356004,1,2,1.356678459,844342.59043,Q1_family_importance,rather_important
356004,1,2,1.356678459,844342.59043,Q1_family_importance,very_important
356008,1,2,0.999029825,844342.59043,Q1_family_importance,very_important
356028,1,1,0.795385259,844342.59043,Q1_family_importance,very_important
356004,1,2,0.351262771,844342.59043,Q1_family_importance,not_very_important
356029,1,2,1.356678459,844342.59043,Q1_family_importance,very_important
356004,1,2,0.881725469,844342.59043,Q1_family_importance,very_important
356028,1,2,1.014341932,844342.59043,Q1_family_importance,very_important
356008,1,2,1.474734744,844342.59043,Q1_family_importance,very_important
356028,1,2,0.999029825,844342.59043,Q1_family_importance,very_important
356004,1,2,0.271246591,844342.59043,Q1_family_importance,very_important
356028,1,2,1.014341932,844342.59043,Q1_family_importance,very_important
356004,1,2,1.014341932,844342.59043,Q1_family_importance,rather_important
356028,2,2,1.301716135,844342.59043,Q1_family_importance,rather_important
356028,1,2,1.301716135,844342.59043,Q1_family_importance,very_important
356004,1,2,0.789102794,844342.59043,Q1_family_importance,very_important
356004,1,2,1.301716135,844342.59043,Q1_family_importance,very_important
356004,1,2,0.789102794,844342.59043,Q1_family_importance,rather_important
356028,1,2,1.014341932,844342.59043,Q1_family_importance,very_important
356004,1,2,1.014341932,844342.59043,Q1_family_importance,very_important
356034,1,1,0.882231612,844342.59043,Q1_family_importance,very_important
356028,1,2,1.356678459,844342.59043,Q1_family_importance,very_important
356034,1,2,0.881725469,844342.59043,Q1_family_importance,very_important
356034,1,1,1.060531769,844342.59043,Q1_family_importance,rather_important
356004,1,2,1.356678459,844342.59043,Q1_family_importance,very_important
356004,2,1,0.188640053,844342.59043,Q1_family_importance,very_important
356004,1,2,0.999029825,844342.59043,Q1_family_importance,very_important
356004,1,2,0.999029825,844342.59043,Q1_family_importance,very_important
356028,1,2,1.474734744,844342.59043,Q1_family_importance,very_important
356028,1,2,1.356678459,844342.59043,Q1_family_importance,very_important
356028,1,2,1.301716135,844342.59043,Q1_family_importance,very_important
356028,1,2,1.765651317,844342.59043,Q1_family_importance,very_important
356004,1,2,1.765651317,844342.59043,Q1_family_importance,very_important
356004,1,1,0.226321254,844342.59043,Q1_family_importance,not_very_important
356028,1,2,0.329186201,844342.59043,Q1_family_importance,very_important
356034,1,1,0.795385259,844342.59043,Q1_family_importance,very_important
356028,1,2,0.893607074,844342.59043,Q1_family_importance,very_important
356028,1,2,0.999029825,844342.59043,Q1_family_importance,very_important
356029,2,1,0.266425465,844342.59043,Q1_family_importance,very_important
356021,2,1,1.060531769,844342.59043,Q1_family_importance,very_important
356034,1,1,0.188640053,844342.59043,Q1_family_importance,very_important
356029,2,1,1.586042065,844342.59043,Q1_family_importance,very_important
356029,2,1,0.795385259,844342.59043,Q1_family_importance,very_important
356029,2,1,1.063182634,844342.59043,Q1_family_importance,very_important
356029,1,2,1.356678459,844342.59043,Q1_family_importance,very_important
356028,1,1,1.063182634,844342.59043,Q1_family_importance,very_important
356028,1,2,0.999029825,844342.59043,Q1_family_importance,very_important
356034,1,1,1.108427752,844342.59043,Q1_family_importance,very_important
356034,1,2,0.999029825,844342.59043,Q1_family_importance,very_important
356008,1,2,1.765651317,844342.59043,Q1_family_importance,very_important
356008,2,2,1.474734744,844342.59043,Q1_family_importance,very_important
356034,1,1,1.157946,844342.59043,Q1_family_importance,very_important
356029,1,2,0.999029825,844342.59043,Q1_family_importance,very_important
356029,1,2,0.893607074,844342.59043,Q1_family_importance,very_important
356004,1,1,1.157946,844342.59043,Q1_family_importance,very_important
356004,1,2,0.329186201,844342.59043,Q1_family_importance,rather_important
356004,1,2,0.390189518,844342.59043,Q1_family_importance,very_important
356004,1,1,0.882231612,844342.59043,Q1_family_importance,not_very_important
356004,1,2,1.301716135,844342.59043,Q1_family_importance,very_important
356029,1,2,1.014341932,844342.59043,Q1_family_importance,very_important
356028,1,2,0.329186201,844342.59043,Q1_family_importance,very_important
356034,3,1,0.795385259,844342.59043,Q1_family_importance,very_important
356034,3,1,1.281331647,844342.59043,Q1_family_importance,very_important
356028,1,2,1.936586309,844342.59043,Q1_family_importance,very_important
356004,1,2,0.893607074,844342.59043,Q1_family_importance,very_important
356028,1,2,1.356678459,844342.59043,Q1_family_importance,very_important
356034,1,1,0.226321254,844342.59043,Q1_family_importance,very_important
356029,2,1,1.157946,844342.59043,Q1_family_importance,very_important
356029,2,1,1.060531769,844342.59043,Q1_family_importance,very_important
356028,1,2,0.881725469,844342.59043,Q1_family_importance,very_important
